name,tier,url,image_url,dimensions,handle_drop,ideal_for,colour,made_of,features,design_notes
BOTTEGA VENETA THE SHOULDER POUCH BAG,DELUXE,https://zerocollective.ca/bag/bottega-veneta-the-shoulder-pouch-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1757609097726x560170157775186940/Bottega%20Veneta%20The%20Shoulder%20Bag%20BSBBV258-1355-0%201.jpg","LARGE (14.5"" x 8.5"" x 5.5"")","5.5""","PHONE, WALLET, BOOK, POUCH, AND KEYS",Caramel tan with a matte finish,Supple lambskin leather,Soft unstructured silhouette with knotted top handle; single open compartment with magnetic closure; slouchy profile designed to mold naturally with wear,"Softly sculpted and plush, The Shoulder Pouch explores natural drape through its slouchy silhouette and buttery lambskin. The knotted top handle and minimalist construction highlight Bottega Veneta’s focus on pure material expression. As a contemporary evolution of the house’s sculptural language, it became a defining shape of the new-era Bottega aesthetic. A refined option for women who gravitate toward quiet, tactile luxury. Style it with oversized knits or sleek evening looks for effortless impact."
LOUIS VUITTON LOCKME CABAS TOTE,CLASSIC,https://zerocollective.ca/bag/louis-vuitton-lockme-cabas-tote-2,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1764779360644x454315198829719200/Louis%20Vuitton%20Lockme%20Cabas%20Tote%20BSBLV258-689-0%201.jpg","LARGE (11"" x 10.5"" x 6"")","8""","LAPTOP, POUCH, PHONE, WALLET, AND KEYS",,,,
YSL LAMBSKIN SMALL CALYPSO BAG,CLASSIC,https://zerocollective.ca/bag/ysl-lambskin-small-calypso-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1757608144987x628699093787867800/Saint%20Laurent%20Lambskin%20Calypso%20East%20West%20Bag%20BSBSL258-1614-0%203.jpg","MEDIUM (10"" x 5"" x 2.5"")","11"" - 19""","WALLET, PHONE, AND KEYS",Dark taupe with gold-tone hardware,Lambskin leather,"Long rectangular “east-west” silhouette, chain straps, flap closure, YSL monogram","Sleek and elongated, the Small Calypso Bag offers a refined east-west profile in dark taupe lambskin. The clean lines and subtle YSL monogram blend understated glamour with everyday wearability. Saint Laurent’s legacy of sleek evening shapes inspires the silhouette’s modern minimalism. A versatile choice for women who enjoy streamlined forms with polished accents. Pair it with monochromatic outfits or tailored layers for sophisticated simplicity."
PRADA SAFFIANO PANIER TOP HANDLE BAG,CLASSIC,https://zerocollective.ca/bag/prada-saffiano-panier-top-handle-bag-1,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1759848276718x252324897791802460/Prada%20Saffiano%20Panier%20Top%20Handle%20Bag%20BERPR258-1091-0%201.jpg","SMALL (7"" x 6.5"" x 4"")","22""","CARDHOLDER, PHONE, AND KEYS","The deep forest green tone gives this Panier a sleek, sculpted presence with a luxurious pop of colour. Crafted from Prada’s signature Saffiano leather, the bag features a structured bucket silhouette with clean edges, a top handle, and subtle gold-tone hardware. The Panier reflects Prada’s long-standing heritage of architectural shapes and innovative leather treatments introduced by Mario Prada and refined through the decades. It’s perfect for women who appreciate structured lines and modern minimalism with a sophisticated twist. Carry it with knitwear or a tonal coat for a polished, elevated look.",Saffiano leather,"Panier bucket shape, top handle, removable shoulder strap, metal Prada logo, snap closure, feet",
CHANEL VINTAGE LAMBSKIN QUILTED DIANA FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-vintage-lambskin-quilted-diana-flap-bag-2,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1760566702047x596653024166887300/Chanel%20Vintage%20Lambskin%20Quilted%20Diana%20Flap%20Bag%20BERCH258-2188-0%201.jpg","MEDIUM (10"" x 6"" x 3"")","20""","PHONE, WALLET, AND KEYS",Deep brown with gold-tone hardware,Lambskin leather,"Rounded flap construction, leather-woven chain strap, CC turn-lock, back slip pocket","The deep brown tone and softened structure give this Diana Flap a calm, elegant presence. Lambskin quilting and rounded flap edges create a plush yet refined surface that catches the light beautifully. Named after Princess Diana—who famously carried the style—this bag remains one of Chanel’s most beloved archival designs. It’s a favourite among collectors who appreciate soft lines, meaningful heritage, and a chic, day-to-night silhouette. Style it with monochrome dressing to highlight its timeless shape."
CHANEL CAVIAR QUILTED DOUBLE SIDED FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-caviar-quilted-double-sided-flap-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1763761792674x497791635492762940/Chanel%20Caviar%20Quilted%20Double%20Sided%20Flap%20Bag%20BERCH258-2855-0%201.jpg","MEDIUM (10"" x 6"" x 3"")","4""","PHONE, WALLET, AND KEYS",,,,
CHANEL LAMBSKIN MADISON MEDIUM FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-madison-medium-flap-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1760566429738x536840073706181400/Chanel%20Lambskin%20Medium%20Flap%20Bag%20BERCH258-1372-0%201.jpg","MEDIUM (10"" x 6"" x 2"")","9""","PHONE, WALLET, SUNGLASSES, AND KEYS",Deep red with ruthenium-tone hardware,Lambskin leather,Front flap with CC turn-lock closure; leather-woven chain strap for shoulder or crossbody wear; back exterior pocket; interior zip and slip pockets,"Deep red lambskin and clean lines give this Madison Flap a confident, elegant presence. The structure is lifted by supple leather, a classic CC turn-lock, and a leather-woven chain strap that transitions from shoulder to crossbody with ease. Its streamlined proportions reflect Chanel’s long archive of flap variations rooted in Coco Chanel’s belief in timeless, functional elegance. It’s perfect for women who gravitate toward modern classics with subtle edge. Wear it with tailored layers or a sleek dress to highlight its balanced design."
CHANEL VINTAGE LAMBSKIN CC HOBO BAG,DELUXE,https://zerocollective.ca/bag/chanel-vintage-lambskin-cc-hobo-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1770695485463x683763006247401000/Chanel%20Vintage%20Lambskin%20CC%20Hobo%20Bag%20BERCH258-1072-0%201.jpg","MEDIUM (14.5"" x 9"" x 5"")","10""","WALLET, PHONE, SUNGLASSES, AND KEYS",,,,
CHANEL LAMBSKIN QUILTED SMALL TRENDY TOP HANDLE FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-quilted-small-trendy-top-handle-flap-bag-1,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1772118310970x989101966300350000/Chanel%20Lambskin%20Quilted%20Small%20Trendy%20Top%20Handle%20Flap%20Bag%20BSBCH257-2640-0%201.jpg","SMALL (10"" x 6.5"" x 3.5"")","4"" - 19""","WALLET, PHONE, SUNGLASSES, AND KEYS",,,,
CHANEL CAVIAR QUILTED CLASSIC DOUBLE FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-caviar-quilted-classic-double-flap-bag-2,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/674f57aeb645cb13e8698146_Chanel%20Grained%20Calfskin%20Black%20%5B1%5D.webp,"MEDIUM (10"" x 6.5"" x 2.5"")","9"" - 16""","WALLET, PHONE, SUNGLASSES, AND KEYS",Black with silver hardware,Caviar leather,"Double flap, diamond quilting, chain strap, CC turn-lock","In classic black caviar leather, the Double Flap carries a sculpted, elegant presence with unmistakable Chanel character. Its diamond quilting, dual compartments, and chain strap highlight the house’s iconic construction and functional design codes. First introduced by Coco Chanel in 1955 and later refined by Karl Lagerfeld, the Classic Flap remains the most enduring symbol of the maison. It’s essential for collectors who appreciate craftsmanship, durability, and history in one piece. Wear it with anything from denim to tailoring for polished ease."
YSL LAMBSKIN QUILTED LE 5 A 7 SHOULDER BAG,CLASSIC,https://zerocollective.ca/bag/ysl-lambskin-quilted-le-5-a-7-shoulder-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1761838123938x793464397076316200/YSL%20Lambskin%20Quilted%20Le%205%20a%207%20Shoulder%20Bag%20BSBSL259-1369-0%201.jpg","SMALL (10"" x 6.5"" x 2"")","8""","WALLET, PHONE, AND KEYS",Off-white with gold-tone hardware,Lambskin leather,"Soft-structured shoulder bag, quilted exterior, signature YSL logo, adjustable strap, magnetic closure","The off-white palette and softly structured shape give the Le 5 à 7 a relaxed yet polished feel. Supple lambskin, diamond quilting, and the signature YSL logo create a tactile, modern balance. Named after the French “5 à 7” social hour, the bag channels the house’s effortless Parisian energy. A beautiful choice for women who love quiet luxury with a hint of edge. Wear it with minimalist tailoring or tone-on-tone neutrals for understated chic."
YSL NAPPA TOY PUFFER SHOULDER BAG,CLASSIC,https://zerocollective.ca/bag/ysl-nappa-toy-puffer-shoulder-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1759848539030x823244761867817900/YSL%20Nappa%20Toy%20Puffer%20Shoulder%20Bag%20BBASL258-1417-0%201.jpg","SMALL (9"" x 6"" x 3"")","22""","WALLET, PHONE, AND KEYS",Dove grey with gold-tone hardware,Nappa lambskin leather,"Petite size, plush quilted “puffer” design, chain strap, envelope flap, YSL logo","Soft dove grey tones and plush quilting give the Toy Puffer a gentle, cloud-like presence. Nappa lambskin, padded construction, and the envelope flap shape create a tactile, modern effect. The puffer line reinterprets Saint Laurent’s classic codes through a softer, more relaxed silhouette. A perfect pick for women who appreciate contemporary luxury with a playful twist. Pair it with oversized knits or minimalist outfits for a softly elevated look."
FENDI VINTAGE ZUCCA EAST WEST SHOULDER BAG,CLASSIC,https://zerocollective.ca/bag/fendi-vintage-zucca-east-west-shoulder-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1759847959570x126385537299674050/Fendi%20Vintage%20Zucca%20East%20West%20Shoulder%20Bag%20BBAFE258-577-0%201.jpg","SMALL (11"" x 6"" x 2.5"")","8"" - 10""","WALLET, PHONE, AND KEYS",Brown Zucca print with black accents and silver-tone hardware,Coated canvas and leather,"East-West rectangular silhouette, flap closure with FF buckle, single top handle, all-over Zucca monogram, interior compartment with zipper pocket","The slim East-West silhouette and iconic Zucca pattern give this shoulder bag a sleek, vintage-cool presence. Coated canvas, structured lines, and the metallic FF buckle highlight Fendi’s signature craftsmanship and graphic motifs. The Zucca print, designed by Karl Lagerfeld in 1965, remains one of the house’s most recognizable codes. It’s a favourite for collectors and women who appreciate refined shapes with strong heritage identity. Style it with neutral tailoring or relaxed denim for an effortlessly polished finish."
CHANEL CALFSKIN QUILTED IN THE BUSINESS TOTE BAG,DELUXE,https://zerocollective.ca/bag/chanel-calfskin-quilted-in-the-business-tote-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1762364321740x230635211326810850/Chanel%20Calfskin%20Quilted%20In%20the%20Business%20Tote%20Bag%20BBACH259-2261-0%201.jpg","LARGE (16"" x 12"" x 5"")","12.5""","LAPTOP, PHONE, WALLET, SUNGLASSES, AND KEYS",Deep red with silver-tone hardware,Quilted calfskin leather,"Roomy tote silhouette, double chain-and-leather shoulder straps, quilted exterior, CC logo detail, interior compartments",
CHANEL LAMBSKIN MOSAIC STUDS FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-mosaic-studs-flap-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1762363645826x242039683135745860/Chanel%20Lambskin%20Mosaic%20Studs%20Accordion%20Flap%20Bag%20BBACH259-1547-0%201.jpg","MEDIUM (12"" x 7"" x 3"")","8.5"" - 15.5""","WALLET, PHONE, SUNGLASSES, AND KEYS",White with gold-tone hardware,Lambskin leather,"Mosaic studded CC motif, flap closure, chain-and-leather strap, interior compartments","The soft white lambskin and mosaic-studded CC motif give this flap bag a luminous, modern presence. Smooth leather, clean lines, and gold-tone hardware emphasize Chanel’s refined approach to sculptural minimalism. The mosaic stud technique transforms the classic CC into a dimensional focal point, blending artisanal detail with sleek contemporary polish. A standout choice for women who love iconic silhouettes with a unique textural twist. Style it with tonal neutrals or elevated evening pieces to let the mosaic effect shine."
CHANEL GLAZED GOATSKIN DOUBLE STITCHED FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-glazed-goatskin-double-stitched-flap-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1762363585536x490114129441139300/Chanel%20Glazed%20Goatskin%20Double%20Stitched%20Flap%20Bag%20BOTCH259-1392-0%201.jpg","MEDIUM (12"" x 7"" x 3"")","12"" - 20""","WALLET, PHONE, SUNGLASSES, AND KEYS",Burgundy with silver-tone hardware,Glazed goatskin leather,"Double-stitched quilting, flap closure with CC turn-lock, chain-and-leather strap, interior compartments","The rich burgundy tone and softly padded silhouette give this glazed goatskin flap bag a warm, dimensional presence. The glossy finish, double-stitched quilting, and mixed-metal chain strap highlight Chanel’s balance of structure and softness. The double-stitch pattern adds depth to the classic quilting, enhancing the natural texture of goatskin and giving the bag a subtly sculpted look. A refined choice for women who appreciate iconic shapes enriched with artisanal detail. Style it with tonal knits or sleek tailoring to bring out its unique sheen."
CHANEL VINTAGE LAMBSKIN QUILTED MAXI FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-vintage-lambskin-quilted-maxi-flap-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1762364069221x781854012379877400/Chanel%20Vintage%20Lambskin%20Quilted%20Maxi%20Flap%20Bag%20BOTCH259-2379-0%201.jpg","LARGE (13.5"" x 9.5"" x 4"")","11.5"" - 23""","BOOK, PHONE, WALLET, SUNGLASSES, AND KEYS",Beige with gold-tone hardware,Lambskin leather,"Quilted lambskin, maxi flap silhouette, CC turn-lock, chain-and-leather strap, interior compartments","The soft beige tone and oversized proportions give this vintage Chanel Maxi a calm yet statement-making presence. Supple lambskin, diamond quilting, and the classic CC turn-lock showcase the house’s dedication to timeless construction and tactile elegance. The Maxi flap silhouette amplifies Chanel’s iconic design language, offering dramatic scale while keeping the lines clean and structured. A beautiful choice for women who appreciate heritage shapes with generous, graceful proportions. Style it with tonal layers or polished neutrals for a refined, elevated look."
CHANEL CRINKLED PATENT QUILTED CLASSIC DOUBLE FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-crinkled-patent-quilted-classic-double-flap-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1761837701020x778154002785504000/Chanel%20Crinkled%20Patent%20Quilted%20Classic%20Double%20Flap%20Bag%20BOTCH259-1579-0%201.jpg","MEDIUM (10"" x 6.5"" x 2.5"")","9"" - 16""","WALLET, PHONE, SUNGLASSES, AND KEYS",Black with silver-tone hardware,Crinkled patent quilted calfskin,Classic double-flap construction; leather-woven chain strap for shoulder or crossbody wear; back slip pocket; interior zip and slip compartments,
LOUIS VUITTON EMBOSSED MONOGRAM POCHETTE COUSSIN,CLASSIC,https://zerocollective.ca/bag/louis-vuitton-embossed-monogram-pochette-coussin,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1761837952727x791065094397643800/Louis%20Vuitton%20Embossed%20Monogram%20Pochette%20Coussin%20BOTLV259-1737-0%201.jpg","SMALL (8"" x 5"" x 2"")","19""","PHONE, WALLET, AND KEYS",Black with gold-tone hardware,Embossed calfskin leather,"Embossed monogram calfskin, padded construction, chain strap, flap silhouette, compact profile","The black embossed monogram and compact silhouette give the Pochette Coussin a sleek, modern presence. Soft calfskin, pillow-like padding, and a gold chain strap highlight Louis Vuitton’s contemporary approach to texture and shine. The Coussin line is celebrated for its plush, cloud-like construction, bringing a fresh, sculptural dimension to classic monogram. A refined choice for women who appreciate minimalist shapes infused with tactile depth. Style it with sharp tailoring or tonal layers for an elevated, quietly confident look."
